12CBAw,1,月3,社会科基礎A(中学年の社会科と現代の教育課題),山根拓,2; 3; 4,専門教育科目小学校の教科に関する専門的事項,1,発141講義室,授業計画は地理・歴史・公民3分野のオムニバス構成である。\\n第1回:歴史的分野:歴史学とは何か―歴史の見方、学び方、伝え方(担当:中村只吾)\\n第2回:歴史的分野:小学校の歴史教育に求められていること―その方法と素材に触れる(担当:中村只吾)\\n第3回:地理的分野:学習指導要領から小学校中学年社会科教育の狙いと現代的課題を探る(担当:山根拓)\\n第4回:地理的分野:身近な地域や都道府県の何をどのように教えるか―地理的見方・考え方(担当:山根拓)\\n第5回:地理的分野:初等中等教育における地理教育の意義-地誌教育・地図教育・野外学習(担当:山根拓)\\n第6回:公民的分野:小学校中学年社会科における社会科学的アプローチの意義-現代的課題としての主権者教育の観点-(担当:志賀文哉)\\n第7回:公民的分野:学習指導要領の理解-「社会的な見方・考え方」の連続性に注目して(担当:志賀文哉)\\n第8回:公民的分野:地域社会の諸事象を政治・経済学的にどう捉え教えるか(担当:五十嵐美華),オムニバス授業のため、地理・歴史・公民3分野でレポートを課し、その総合評価とする地理35%、歴史30%、公民35%を目安とする。<評価基準>設定した課題の意図を的確に理解したうえで記述している,欠席は基本的に認めない。
12CCAw,1,月5,算数科基礎A(低・中学年),石川秀明,2; 3; 4,専門教育科目小学校の教科に関する専門的事項,1,発141講義室,講義形式\\n第1回:数の分類\\n第2回:素数と約数\\n第3回:商と余りの考え\\n第4回:論理と必要十分条件\\n第5回:関数の基礎\\n第6回:方程式の基礎\\n第7回:総合問題\\n第8回:まとめと定期試験,定期試験70点+平常点30点=合計100点。60点以上が合格。\\n平常点は随時行う小テスト、レポートなどをもとに評価する。,連絡先ishikawa@edu.u-toyama.ac.jp\\nオフィスアワー前期水曜5限\\n他学部履修は不可
12CHC7,1,月1; 月2,家庭科基礎C(実習),森島美佳,2; 3; 4,専門教育科目小学校の教科に関する専門的事項,1,,,,
12DIAa,1,月4,初等体育科教育法I,白石翔,2; 3; 4,専門教育科目小学校の教科指導法,1,発141講義室,第1回:オリエンテーションおよび体育科教育の目標・内容論\\n第2回:学習指導要領の変遷・特徴\\n第3回:体育科における学習指導論\\n第4回:体育科における学習集団論*情報機器の活用を含む\\n第5回:体育科における子ども理解\\n第6回:体育科における指導計画\\n第7回:健康教育の授業づくりと情報機器の活用\\n第8回:模擬授業と省察:健康教育\\n但し; 状況応じて順番が前後することもあります。\\n定期試験は実施せず、課題レポートを提示する。,・授業態度(40%)\\n〈評価基準〉\\n提示された課題に向き合って取り組むことができている。\\n・各授業での感想文(20%)\\n〈評価基準〉\\n自身の経験と照らして新たに気づいたこと、考えたことが述べられている。\\n・課題レポート(40%)\\n〈評価基準〉\\n学習内容に即して、理想とする授業論について述べることができている。,
12FAEa,1,月1,幼児と言葉,宮城信,2; 3; 4,専門教育科目第二校種免許専門科目,1,発117講義室,授業計画\\n第1回:オリエンテーション\\n第2回:幼児期の言葉の発達過程\\n第3回:幼児期の言語環境を考える\\n第4回:幼児教育における読み聞かせ\\n第5回:幼小接続を視野に入れた言葉の指導\\n第6回:保育の中での言葉の機能とその指導(1)年少児期に焦点を当てて\\n第7回:保育の中での言葉の機能とその指導(2)年中児期に焦点を当てて\\n第8回:保育の中での言葉の機能とその指導(3)年長児期に焦点を当てて,毎回のレポートにより把握する授業内容の理解度(80%)と、授業中の発表内容や発表態度(20%)によって判断する。,
12GBCw,1,月3,肢体不自由児の心理・生理・病理I(教育・医療・福祉の機関連携を含む),宮一志,3; 4,専門教育科目第二校種免許専門科目,1,発112講義室,第1回:オリエンテーション、肢体不自由の定義と原因\\n第2回:運動機能の解剖生理(1)(人体各部の名称、骨格、筋肉)\\n第3回:運動機能の解剖生理(2)(脳・脊髄・末梢神経)\\n第4回:運動機能の評価\\n第5回:脳性まひの定義と原因\\n第6回:脳性まひの病態と心理発達\\n第7回:脳性まひ児への療育\\n第8回:肢体不自由児を支える制度と機関連携、定期試験,毎回の授業で行う小課題(30%)、定期試験(70%)\\n<評価基準>\\n達成目標に示す内容について、正しく理解している,
12GCF1,1,月4,聴覚障害教育課程論I,武居渡,,,,,,,
12HAEa,1,月5,国語科教育法V,川島拓馬,3; 4,専門教育科目第二校種免許専門科目,1,発111講義室,1.国語科における言語事項について\\n2.文法指導における課題\\n3.文法事項と文章の解釈\\n4.語彙の教育\\n5.古典教育の意義と課題\\n6.文語文法の指導\\n7.古典教育におけるコーパスの活用\\n8.授業の振り返りとまとめ,リアクションペーパーおよび提出課題(100%),
12HCAw,1,月2,日本文学概論I(教育と文学の関係を含む),西田谷洋,2; 3; 4,専門教育科目第二校種免許専門科目,1,発114講義室,第1回:文学研究と鑑賞の違い、文献収集・本文異同等各種調査とリスト作成について\\n第2回:二項対立と視点:志賀直哉「小僧の神様」\\n第3回:構成と整合性:夢野久作「瓶詰地獄」\\n第4回:語り手と聞き手:太宰治「葉桜と魔笛」\\n第5回:時代背景・文脈との関連付け:中島敦「文字禍」\\n第6回:鏡像とメタファー:川端康成「水月」\\n第7回:小説と世界:川上弘美「蛇を踏む」\\n第8回:論争・パラダイム・教育\\n進度・感染状況・受講人数などによって内容・順序を変更することがある。\\n定期試験は実施しない。,評価の方法・配分\\n講義のコメントカードを毎回提出させるとともに(60%を目安)、レポートを課し(40%を目安)、授業態度をふまえそれらを総合的に評価する。\\n欠席が多い場合はレポートがでていても不可とすることがある。\\n評価基準\\n・コメントカードでは、意欲があるか、自ら考えているか、さらに有意義な見解を豊かに表現されているか。\\n・レポートでは、既存の複数の学説等について引用・参照しているか否か、問題設定に対して回答を論理的・実証的に導き出せているか否か、新たな自分の見解を説得的に提示できているか否か、そもそも文章表現の形式にきちんと基づいて論述出来ているか否か。,
12HCCa,1,月4,日本文学演習I,西田谷洋,3; 4,専門教育科目第二校種免許専門科目,1,発142講義室,授業の概要\\nそれぞれ担当を定め、教員が指定したテキストについての発表と討議を行う。担当者の発表を叩き台とし、教室全体で議論を交わし分析を深める。1文献の入手・整理法、2書誌・異同の確認、3注釈、4立論・分析の方法、5レジュメの作り方、6質疑の仕方、7レポートの書き方などを模範発表や実際の発表過程で指導する。\\n授業内容\\n第1回:テキストの概要について※使用テキストについては授業内で指示する\\n第2回:調査方法の説明\\n第3回:発表と討議(1)――春のうた、当座の感興\\n第4回:発表と討議(2)――春のうた、テーマを定めて\\n第5回:発表と討議(3)――夏のうた\\n第6回:発表と討議(4)――秋のうた\\n第7回:発表と討議(5)――冬のうた\\n第8回:まとめ\\n*本授業は選択必修科目で授業開始まで受講生の人数が定まらないため、第3回以降の具体的なシラバスを示すことが難しい。ここではおおよその方向性を示しているが、受講人数、受講生の興味の方向によっては内容に変更が出るので注意すること。\\n*定期試験は実施せず、評価は口頭発表・討議等といった授業への参加状況と、期末レポートによる,成績評価の方法\\n発表・質疑・コメントカード(50%)と、レポート(50%を目安)、それらを総合的に評価する\\n評価基準\\n・コメントカードや質疑では積極的に発言しているか、自ら考えているか、さらには有意義な見解が表現されているか。\\n・レポート・発表は、次の観点から評する\\n1レポートでは、既存の複数の学説等について引用・参照しているか否か、問題設定に対して回答を論理的・実証的に導き出せているか否か、新たな自分の見解を説得的に提示できているか否か、そもそも文章表現の形式にきちんと基づいて論述出来ているか否か。\\n2口頭説明において、冗長にならず適切にレジュメを説明できているか否か、また質問に誠実かつ適切に回答できているか否か。,天候・感染状況・進度等によって順序・内容を変更する場合がある。\\nまた授業内容の詳細はムードルまたは教室で指示する。\\n教育実習の教材にある古典文学研究の基礎的な訓練なので、積極的・意欲的な参加を期待します。
