140109,1-2(1-2),月4; 月5,物理学実験B,松本裕司,3; 4,専門教育科目専攻科目,2,,第1回はガイダンスを行う。第2回は実験についての説明を行う。第3回から第14回までは; \\n以下の6つのテーマの中から4テーマを、それぞれ3回(2コマ/回)かけて行う。\\n・レーザー光による回折実験\\n・X線回折\\n・ファラデー法とHall素子を用いた磁化測定\\n・真空技術\\n・酸化物高温超伝導体の作成と低温電気抵抗測定\\n・ホール係数\\n第15回発表準備\\n第16回発表,単位の認定は、授業態度、レポート提出、課題発表によってなされる.レポートの提出期限は; 実験終了後1週間(この授業がある場合は出席確認時)とする.全てのレポートを提出しないと、評価の対象外。\\n評価の比率は; 授業態度:レポート:課題発表=20:60:20,
140110,1-2(1-2),月4; 月5,物理学実験C,榎本勝成,3; 4,専門教育科目専攻科目,2,,第1回目はガイダンスで; 第2回目から第13回までで実験を行い; 第14・15回目にプレゼンテーションを行う。以下に; 実験テーマをあげる.\\n・アナログ回路:はんだ付けやテスター; オシロスコープ; 真空電圧計の扱い方\\nなど; アナログ回路製作のノウハウを習得する.\\n・定在波・周波数測定:電磁波伝播の一例をマイクロ波回路で定在波を測定する\\nことによって学ぶ.また、高周波の取り扱いについて学ぶ.\\n・レーザー:光速度の測定を行う.また; 波長可変レーザーを用いて光共振器に\\nついて学習する.\\n・デジタル回路:デジタル回路の基本的動作について学習する.\\n・核磁気共鳴(NMR):Coの核磁気共鳴を測定し; 核磁気共鳴の基礎原理を理解する.\\n・光学測定:分光器の使用方法や、ロックイン検出について学ぶ.\\n第2回以降のスケジュールに関しては、上記6種類の内の4種目を行う。参考スケ\\nジュールは以下のとおりであるが、種目は個人によって異なる。\\n第2回アナログ回路1\\n第3回アナログ回路2\\n第4回アナログ回路3\\n第5回デジタル回路1\\n第6回デジタル回路2\\n第7回デジタル回路3\\n第8回レーザー1\\n第9回レーザー2\\n第10回レーザー3\\n第11回核磁気共鳴1\\n第12回核磁気共鳴2\\n第13回核磁気共鳴3\\n第14回プレゼンテーション準備\\n第15回プレゼンテーション,単位の認定は、実験の取り組みと進度(35%)、レポートの提出状況と内容(60%)、プレゼンテーション(5%)に基づいて行う。レポートの提出締切は実験終了の1週間後である。,
140211,1-2(1-2),月4; 月5; 火3; 火4; 木3; 木4; 金3; 金4,物理化学実験,岩村宗高,3; 4,専門教育科目専攻科目,3,,原則として二人一組で実験を行う。4日で1テーマの実験を終わる。実験については; 教科書・プリントに書いてあることを十分に把握してから実験にのぞむこと。各自出来上がったレポートを担当教員に持参して口頭試問を受け; 認定されてから; 次の実験テーマに移る。これを繰り返す。スケジュールの詳細はMoodle上に記載する。\\n1.1次反応の反応速度定数と活性化エネルギー\\n2.固体の溶解度と溶解熱\\n3.サイクリックボルタンメトリー法による電気化学特性評価\\n4.光吸収分光法を用いた平衡定数の決定\\n5.気体の密度と分子量の測定\\n6.ガラス細工,達成目標1は実験態度(20%)で評価し; 達成目標2は毎回のレポートの成績(80%)によって評価する。\\nレポートは\\n*実験操作が適切に書かれているか。\\n*実験結果の精度をふまえた書き方となっているか。\\n*実験結果を適切に解析・考察しているか。\\nを評価基準とする。,5日間のガラス細工演習を受ける。
140212,1-2(1-2),月4; 月5; 火3; 火4; 木3; 木4; 金3; 金4,無機分析化学実験,鈴木炎,3; 4,専門教育科目専攻科目,3,,分析化学実験(前半)\\n1.吸光光度法\\n2.キレート滴定法\\n3.pH滴定法\\n無機化学実験(後半)\\n1.ビス(グリシナト)銅(II)の合成\\n2.トリス(エチレンジアミン)コバルト(III)の合成\\n3.(オキサラト)ビス(エチレンジアミン)コバルト(III)の合成\\n4.ビス(オキサラト)(エチレンジアミン)コバルト(III)酸の合成\\n5.トリス(オキサラト)コバルト(III)酸の合成,分析実験\\n授業中に課す課題、小テスト、レポート等により総合的に評価する(配分100%)。評価基準:得点60%以上を合格とする。\\n無機化学実験\\n実験ノートを採点し、評価する(配分100%)。評価基準:得点60%以上を合格とする。,
140315,1-2(1-2),月4; 月5; 火3; 火4; 木3; 木4,生体構造学実験II,山崎裕治,3; 4,専門教育科目専攻科目,4,,各教員の担当日時は、それぞれ4月以降に掲示される。\\n(山崎)1.形態的特徴に基づく種判別/2.遺伝学的解析法の基礎技術/3.遺伝学的手法を用いた種判別4.動物の個体群構造に関する形態学的実験\\n(前川)1.アリ類の形態に基づいた種同定/2.アリ類の形態による系統推定/3.シロアリ類のカーストや共生微生物の観察/4.不妊カーストの雌雄の判別\\n(土`田)1.微生物検出のための培養法と直接観察法/2.遺伝子データベース検索、特異的プライマー設計/3.診断PCR法による共生細菌同定/4.蛍光insituハイブリダイゼーションによる共生細菌イメージング/5.画像解析を用いた昆虫の体色・共生細菌存在量の比較\\n(佐藤)1.藍藻・珪藻の観察/2.種子植物の観察/3.コケ植物の観察/4.シダ植物の観察/5.体細胞分裂・減数分裂の観察,4人の教員の成績を総合して評価する。それぞれの評価方法は次のとおりである。\\n(山崎)受講態度とレポートを総合して評価する。\\n(前川)受講態度とレポートを総合して評価する。\\n(土`田)受講態度とレポートを総合して評価する。\\n(佐藤)受講態度とレポートを総合して評価する。\\nレポートにおいては; 設定した問題に対する解答が; 複数の資料に基づき; 的確に説明されているか; またそれに対する自分の考えが述べられているか; について着目する.,連絡先\\n(山崎)yatsume@sci.u-toyama.ac.jp
140782,1-2,月3; 月4,生物科学実験IA,松田恒平,2; 3; 4,専門教育科目プログラム基盤科目,1,,実験項目\\n1.実験器具の取り扱い方と溶液の調整法およびpHメーターの使用法(松田・今野・中町)\\n2.脊椎動物の解剖に関する実験(内臓諸器官の観察)(松田・今野・中町)\\n3.脳下垂体と消化管の組織学(間脳-下垂体領域と小腸の組織観察)(松田・今野・中町)\\n4.哺乳類の頭骨標本の形態観察(頭骨と歯の形状の観察および性別・齢の推定)(木下),全授業の出席・履修態度と提出された課題レポートの内容により総合的に評価する。すべての項目を履修しなかった場合、またはレポートを提出しなかった場合は評価対象外とする。,
140783,1-2,月3; 月4,生物科学実験IB,前川清人,2,専門教育科目プログラム基盤科目,1.0,,第1回:身近な河川などに生息する魚類を対象として、外部および内部構造を観察する。(山崎)\\n第2回:魚類の成長に伴う体形変化を調べ、近縁種間で比較すると共に、生態的特徴との関係性を考察する。(山崎)\\n第3回:魚類の複数個体(個体群)の体サイズと季節ごとに調べ、その変化パタンに基づき個体群成長解析の方法を学習する。(山崎)\\n第4回:コケ植物(セン類の茎; タイ類の葉状体)の切片の作製・観察を通してコケ植物の構造を理解する。(佐藤)\\n第5回:シダ植物の茎および葉の切片の作製・観察を通して維管束植物の基本的な構造を理解し; 被子植物との違いを把握する。(佐藤)\\n第6回:富山市で採集されたアリ類を対象として; 節足動物の基本的な体制を学ぶ。(前川)\\n第7回:顕微鏡観察によって種を同定し; 同定の基本となる形態部位を学習する。(前川)\\n第8回:外部形態データを用いた最節約法による系統樹の探索を行い; 系統推定の方法論の基礎を理解する。(前川),3人の教員の成績を総合して評価する。\\nそれぞれの評価方法は実験時の取り組み状況(40%)、レポートなど課題(60%)。\\nレポートにおいては; 設定した問題に対する解答が; 複数の資料に基づき; 的確に説明されているか; またそれに対する自分の考えが述べられているか; について着目する.,連絡先\\n(山崎)yatsume@sci.u-toyama.ac.jp
140804,1-2(1-2),月3; 月4; 火3; 火4,自然環境科学実験I,青木一真,2; 3; 4,専門教育科目プログラム発展科目,3,,[青木]\\n1.環境科学実験をはじめる前に1(実験の心得、安全衛生管理)\\n2.環境科学実験をはじめる前に2(レポートの書き方、測定と観測・誤差と精度)\\n[倉光・佐澤]\\n3.事前講義1(4〜8回目の実験に関する説明、試薬の取り扱いについて)\\n4.実験に使用する器具の準備、溶液調製\\n5.金属イオン(1属)の定性実験\\n6.金属イオン(2属)の定性実験\\n7.金属イオン(3; 4属)の定性実験\\n8.金属イオン(5属)の定性実験\\n9.陰イオンの定性実験\\n10.データ処理について\\n11.実験装置・分析器具の取り扱いに関する講義。\\n12.事前講義2(13〜15回目の実験に関する説明)\\n(前半の実験レポートを振り返りながら、レポートの書き方について説明。)\\n13.界面活性剤の定量実験(溶媒抽出について学ぶ)\\n14.リンの定量実験(固相抽出について学ぶ)\\n15.pHメーターを用いた中和滴定\\n16.あとかたづけ\\n[堀川・鹿児島]\\n17.実験に関する説明; 実験器具の使用方法および測容器具の精度の理解; 試薬作製\\n18.中和滴定; EDTA滴定による河川・水道水・ミネラルウォーター中のカルシウム定量\\n19.環境試料の化学分析の前処理法; ICP-MS原理; 陽イオン交換樹脂等の元素について説明; 試薬調製・作製\\n20.堆積物試料の溶解等試料の前処理; 陽イオン交換樹脂カラムを使った元素分離\\n21.ICP-MSによる堆積物試料の元素分析\\n22.エクセルを使ったデータ解析(理学部端末室)\\n23.予備日\\n[太田]\\n24.呉羽丘陵でのフィールドワーク\\n25.可溶性炭水化物の抽出\\n26.可溶性炭水化物の定量、リグニン成分の分離\\n27.リグニンの定量\\n28.SPAD計を用いた葉の葉緑素測定+クロロフィル抽出および定量\\n29.データ解析(植生間での比較など)\\n30.データ整理,皆出席を原則とする。\\n原則、提出課題のレポートの平均点で評価する。\\n評価は下記のとおりになる。\\nS:100-90点秀\\nA:90-80点優\\nB:79-70点良\\nC:69-60点可\\nD:59-0点不可\\nなお、レポート平均点に加え、実験に対する取り組みの態度等も評価に含める場合もある。,注意:週2回受講を要する科目
146015,3-4(3-4),月4,情報数理特論B,秋山正和,3; 4,専門教育科目専攻科目,2.0,理学部端末室,第1回:ニューラルネットワークとは; パーセプトロン\\n第2回:多層パーセプトロン\\n第3回:誤差逆伝播法の理論\\n第4回:サポートベクトルマシン:概要と理論および応用\\n第5回:勾配法の概要\\n第6回:最急降下法の理論\\n第7回:最急降下法の応用\\n第8回:フィッシャーの回帰関数\\n第9回:ロジスティック回帰関数\\n第10回:非線形回帰:概要\\n第11回:非線形回帰:理論1\\n第12回:非線形回帰:理論2\\n第13回:主成分分析:理論\\n第14回:主成分分析:応用\\n第15回:まとめと期末試験,課題(50%)と期末試験(50%)によって評価する。,
146111,3-4(3-4),月3,物理学演習B,松本裕司,3; 4,専門教育科目専攻科目,2,理コラボレーションA337,[授業の形式]\\n・発表に対し質疑・コメント・議論を行う\\n・小テストを実施し特に重要な問題についての再確認を行う。\\n・毎回レポート課題を予習し、解答を板書し発表する。\\n[スケジュール]\\n第1回ガイダンス・小テスト\\n【量子力学】\\n第2回量子性\\n第3回シュレディンガー方程式\\n第4回一次元ポテンシャル問題\\n第5回補充問題1・振り返り\\n第6回角運動量\\n第7回生成消滅演算子\\n第8回量子力学とスピン\\n【熱力学】\\n第9回熱力学的諸量\\n第10回不可逆過程\\n第11回熱力学的の応用問題\\n【統計力学分野】\\n第12回カノニカル分布\\n第13回Curie則と断熱消磁\\n第14回アインシュタインモデルと分子回転\\n第15回理想量子気体(ボーズ統計とフェルミ統計)\\n【試験】\\n第16回テスト,発表・レポート・課題(60%)+テスト(40%)\\n(熱・統計力学分野; 量子力学分野それぞれで最低1回発表すること)\\n8割以上の出席.,シラバスの詳細・成績評価の方法を変更することがありますので、後学期の開始前に、再度、確認をしてください。\\n原則対面で授業を行いますが、遠隔授業の場合オンラインで演習解答を発表してもらう予定です。
146208,3-4(3-4),月2,触媒化学,大津英揮,3; 4,専門教育科目専攻科目,2,理コラボレーションA336,板書やスライドを交え、講義を進める。\\n適宜、課題を課す。\\n授業計画\\n1.イントロダクション\\n2.触媒と分子の活性化\\n3.吸着現象\\n4.触媒反応メカニズムと速度式\\n5.触媒のキャラクタリゼーション1(赤外線分光)\\n6.触媒のキャラクタリゼーション2(その他)\\n7.触媒の材料と調製法\\n8.分子性触媒の機能と特徴1(酸)\\n9.分子性触媒の機能と特徴2(塩基)\\n10.錯体触媒の機能と制御1(18電子則)\\n11.錯体触媒の機能と制御2(トランス効果)\\n12.錯体触媒の化学品製造のための触媒プロセスや応用分野\\n13.酵素触媒の機能と制御\\n14.環境関連触媒\\n15.エネルギー変換のための触媒\\n16.期末試験,成績は、期末試験(80%)・課題(20%)によって達成目標への到達度を測り評価する。\\n期末試験は、記述形式で行う。なお、1/3以上欠席・課題未提出の場合は、期末試験の得点を半分に減ずることとする。\\n受講中における質疑応答や受講態度も評価の対象とする。,
