130010,1-2,月2,比較経営論,森岡 裕,2 ; 3,専門教育科目 経営系基盤科目,2,,以下のような順序で講義を行います。\\n1.イントロダクション\\n2.人的資源を取り巻く環境\\n3.評価と動機づけ\\n4.給与制度\\n5.日本の給与制度の特徴\\n6.キャリア形成\\n7.グローバル化と人材育成\\n8.人材の多様性\\n9.福利厚生\\n10.労使関係\\n11.高齢化社会\\n12.社会保障制度\\n13.企業経営の国際化\\n14.働くことの意味\\n15.まとめ,期末テスト(100点満点)によって評価します。\\nコメントペーパー(感想文)を1回または2回書いてもらいますが、成績評価に結びつくものではありません。\\n<評価基準>\\n達成目標に示す内容について、正しく理解している,
130011,1-2,月4,データ分析の基礎,山本 真人,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,1~15. 教科書に沿ってRを用いた統計解析に関する学習を行う。,小テスト:30%\\n<評価基準>\\nRによる統計解析の知識を身に付けている\\n最終レポート:70%\\n<評価基準>\\nテーマに沿った主張を根拠と共に示すことができる\\n欠席した場合は、当該回に関する追加課題を提出することにより出席に準ずる扱いとする。欠席は5回までを限度とする。やむを得ない事情によりこれを超えて欠席する場合は、理由書を提出することにより欠席を認める(心身の不調・課外活動・家庭の事情・就職活動による欠席を妨げるものではない)。\\nなお、これらの提出が必要な場合に提出されないときは、原則として不合格とする。,
130023,1-2,月2,比較経営論‐A,森岡 裕,4,専門教育科目 昼間主開講・発展科目,2,,以下のような順序で講義を行います。\\n1.イントロダクション\\n2.人的資源を取り巻く環境\\n3.評価と動機づけ\\n4.給与制度\\n5.日本の給与制度の特徴\\n6.キャリア形成\\n7.グローバル化と人材育成\\n8.人材の多様性\\n9.福利厚生\\n10.労使関係\\n11.高齢化社会\\n12.社会保障制度\\n13.企業経営の国際化\\n14.働くことの意味\\n15.まとめ,期末テスト(100点満点)によって評価します。\\nコメントペーパー(感想文)を1回または2回書いてもらいますが、成績評価に結びつくものではありません。\\n<評価基準>\\n達成目標に示す内容について、正しく理解している,
130101,1,月1; 水2,地域経済論‐A,小柳津 英知,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,下記はおおよその予定であり、履修者の履修実績や学年の構成によって進行や内容の多少の変更を行う。\\n第1~2回  1.地域経済学の目的と方法  2.地域・都市の定義と特徴を示す指標\\n第3~4回  3.県民・市民経済計算の概念(1) 三面等価; 属地; 属人; 実質と名目\\n第5~6回  4.県民・市民経済計算の概念(2) 生産・所得面の説明\\n第7~8回  4.県民・市民経済計算の概念(2) 支出面の説明\\n第9~10回   5..地域経済と所得形成(1) 単純な地域マクロモデル\\n第11~12回  6.地域経済と所得形成(2) 財政政策の効果; ISバランスで見た地域の特徴\\n第13~14回  7.地域経済と所得形成(3) 集積の経済; 規模の経済\\n第15回 都道府県再編論; 戦後の地域開発,毎回の授業最後に実施する確認問題の記述(50点)と中間レポート(50点)の合計で判断する。,
130102,1,月1; 水2,政治経済学‐A,松山 淳,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,・授業は教室での対面式の講義によって行います。\\n・講義のスケジュールは以下のようになります。(なお、今後の状況および受講生の理解等に応じて、内容を一部変更する場合があります。)\\n1. イントロダクション (ガイダンス、授業の進め方)\\nPart I モラルサイエンスとしての経済学\\n2-4. 経済学の人間観:ホモ・エコノミクス\\n功利主義\\nパレート効率性と厚生経済学の基本定理\\n功利主義への批判\\n5-8 効率性問題\\n外部性\\n囚人のジレンマ\\n協業(チーム生産)のジレンマ\\n効率性問題 (補論)\\nPart II 資本主義の基本構造を理解するための経済学\\n9-11 唯物史観:生産力と生産関係\\n資本の本源的蓄積\\n商品流通\\n12-14 資本と利潤\\n資本、利潤、利潤率、 生産価格\\n必要労働と剰余労働\\n搾取率と「マルクスの基本定理」\\n15.   授業の総まとめ,具体的な評価基準:リアクションシート(pop sheet;  20%) 、ターム末テストまたは課題(80%)で評価する。\\n授業への意欲について: 講義では、リアクションシート (pop sheet) を配布しますので、興味深かった点、疑問に思った点など自由に書いてください。このカードの内容を成績評価に加味します。\\n課題について:講義内に理解度確認の小テストを行う。,
130103,1,月2; 木2,経営数学‐A,古賀 さゆり,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,単元としては一部数学Cまでの範囲で重なる内容もありますが; 主に高校の数学をこえた内容を扱います.数学の得意な人は; やさしいからといってあなどらないでください.数学の苦手な人も; 及び腰にならないで頑張りましょう.授業では毎回; 問題演習の時間を設けます.数学は積み重ねが大切ですので毎週出席して確実に習得して下さい.行列の基本演算から始めます。必要に応じ各自計算が出来る様になって下さい。次に一番シンプルなケース(輸入を考えない、輸入額が外生的に与えられるとするモデル)の産業連関問題を扱います。\\n行列と行列の演算、産業連関問題:レオンティエフの基本方程式\\n第1回目  ベクトルとその演算\\n第2回目  行列の演算の基礎1\\n第3回目  一次独立と行列式\\n第4回目  線形関数と行列\\n第5回目  行列における逆数-逆行列-\\n第6回目  連立1次方程式\\n第7回目 連立1次方程式 (掃き出し)\\n第8回目  色々な連立1次方程式2 (掃き出し)\\n第9回目  色々な連立1次方程式23(掃き出し)\\n第10回目 産業連関表の基本概念\\n第11回目 産業連関表の投入係数行列\\n第12回目  各産業の相互依存関係分析\\n第13回目  波及効果1\\n第14回目  波及効果2等まとめ\\n第15回目 行列を用いた他の経済分析手法\\n(第16回目)期末テスト(紙媒体の試験)\\n授業の進行状況により内容の移動・追加の可能性がありますのでご了承下さい。\\n講義では簡単な例を用いて、より深く理解を深める事をめざします。\\n数学の得意な人は、やさしいからといってあなどらないで下さい。\\n問題演習で分からないことがあれば、講義中やオフィスアワーを活用して積極的に質問してください。,次の要素を元に学習成果達成度を総合的に評価する。\\n〇期末テスト(紙媒体の試験)50%\\n<評価基準>\\n・達成目標に示す内容について正しく理解し説明できる\\n〇講義前・中時に提出する課題(小テスト)等の結果内容、講義中に出没する能動的な理解度確認チェックに参加状況及び提出状況(Moodle使用)50%\\n<評価基準>\\n・達成目標に示す内容について、正しく理解している\\n・達成目標に示す内容について、正しく選択できている\\n講義内外で学生が自主的に提出する提出物等があれば最終レポートと同様の評価基準で結果を加味しますので、一部の小テストで不安を感じる学生は自主的に提出下さい。,〇続けて経営数学-Bまで履修をする事が望ましい。\\n〇入力自体はMoodleですが計算が多いので、筆記用具等は各自持参参加下さい。\\n〇大変恐縮なのですが、Moodleアクセスにかかる通信通話料に関しては各自負担の程お願いします。
130104,1,月3; 木1,統計学‐A,ZHAI WEIYANG,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,授業の形式\\n基本的には講義形式。講義内容についてパソコンによる簡単な実習をおこなう。授業では学習支援システムを利用。この利用方法については講義中に説明する。\\nスケジュール\\n1   統計学とは。センサスと標本調査:基本概念\\n2   グラフの読み方とグラフによる基本的な分析、データの効果的な説明。Excelによるパソコン実習。\\n3   記述統計(平均、分散など)、異常値の特定化。\\n4   Excelによる記述統計の実習(単純集計表とクロス集計表の作り方、代表値の算出など)\\n5   2変数の相関図(Scatter Diagram)を作成。相関分析の説明。Excelで相関係数の計算の紹介。\\n6   見せかけの相関(疑似相関)。Excelによる相関分析の実習。\\n7   因果関係と相関関係の相違。回帰分析の説明と相関分析との違い。単純回帰分析と重回帰分析の違い。\\n8   Excelで回帰分析の紹介。Excelによる回帰分析の実習。\\n9   回帰モデルの選択。決定係数の使い方。\\n10 Excelによる回帰分析の実習。\\n11 母集団と標本。標本抽出。標本抽出の主な方法。復元抽出と非復元抽出の違い。\\n12 Excelによる標本抽出の実習。\\n13 確率と確率分布。離散型確率分布と連続型確率分布。\\n14 主な確率分布の紹介。\\n15 授業の振り返り及びまとめ(全体の総復習)\\nデータ分析では、受講学生に対するアンケート調査に基づく実際のデータを利用する予定。,小テスト(40%)\\n【評価基準】\\n各回の授業内容を正しく理解し、問題に適切に解答できていること。\\n期末試験(60%)\\n【評価基準】\\n(1) 授業で学習した内容について基本概念を正しく理解し、実際のデータ分析に適用できること。\\n(2) 統計分析結果を適切に解釈し、説明できること。,
130105,1,月3; 木1,財政学‐A,深澤 映司,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,●授業の形式\\n・授業は講義形式で行います。\\n・毎回の講義内容について、必ず復習をするようにして下さい(1回の講義(90分)に対して240分程度の自習を目途とします)。\\n●授業のスケジュール\\n・全15回の講義を経て、期末試験を行います。\\n・授業には毎回出席してください(4回以上欠席した場合は、正当な理由(忌引き、感染症への感染など)が認められない限り、期末の評価を「不可」とします)。\\n第1回   ガイダンス\\n第2回   国の予算・決算制度\\n第3回   国の歳出 (1):社会保障関係費\\n第4回   国の歳出 (2):公共事業関係費、防衛関係費\\n第5回   国の税収 (1):所得税\\n第6回   国の税収 (2):消費税\\n第7回   国の税収 (3):法人税\\n第8回   国の税収 (4):資産課税(相続税・贈与税等)\\n第9回   国の税収 (5):個別消費税\\n第10回  国際課税\\n第11回  税外収入\\n第12回  国債の発行と管理\\n第13回  財政投融資\\n第14回  財政赤字の拡大は何が問題なのか\\n第15回  財政規律の維持と独立財政機関\\n<期末試験>\\n上記の達成目標に到達しているかどうかを判定するための出題を行います。\\n試験の詳細については、授業の中で改めてお知らせします。,成績は、期末に行われる試験(国家財政の本質をしっかり理解できているかどうかを確認するための出題を行います)の答案を踏まえて評価します。\\n期中における小テストや授業を通じた課題等は、予定していません(期末試験のみの評価となります)。\\n4回以上の欠席は、やむを得ない理由(忌引き、感染症への感染など)が認められない限り、期末試験の得点に関わらず「不可」の評価となります。,
130106,1,月3; 木1,刑法総論‐A,辻本 淳史,2 ; 3 ; 4,専門教育科目 昼間主開講・基礎科目,2,,※ あくまでも予定です。理解度に応じて変更する場合があります。\\n第1週  ガイダンス\\n第2週  刑法の基本原則(1)――罪刑法定主義\\n第3週  刑法の基本原則(2)――行為主義、侵害原理、責任主義\\n第4週  構成要件の意義・機能\\n第5週  不作為犯論(1)――作為・不作為の区別、不真正不作為犯の存在\\n第6週  不作為犯論(2)――不真正不作為犯の成立要件\\n第7週  因果関係論(1)――刑法上の因果関係について\\n第8週  因果関係論(2)――相当因果関係と客観的帰属\\n第9週  違法性の基礎理論\\n第10週 正当行為論\\n第11週 正当防衛論(1)――正当防衛論の基礎\\n第12週 正当防衛論(2)――正当防衛論の現代的展開\\n第13週 緊急避難論\\n第14週 被害者の承諾\\n第15週 予備日,小テスト:期末試験を、30:70の割合で評価する。\\n(刑法の専門用語を正しく用いることができるか、判例の内容を説明することができるか、事例について刑法理論にもとづいた自分の判断を示すことができるか、を評価の基準とします。),【連絡先】\\natjmt@eco.u-toyama.ac.jp\\n【オフィス・アワー】\\n水曜日5限(事前に問い合わせをお願いします)
130114,1,月1; 水2,コストマネジメント,真部 典久,3,専門教育科目 企業経営プログラム・発展科目,2,,各回の授業では以下の内容を講義する予定です。\\n第01回(4/13) コストマネジメントの基礎知識\\n第02回(4/15) 標準原価計算(1)\\n第03回(4/20) 標準原価計算(2)\\n第04回(4/22) CVP分析\\n第05回(4/27) 直接原価計算\\n第06回(4/30) 差額原価収益分析\\n第07回(5/11) 前半のまとめとテスト\\n第08回(5/13) スループット会計\\n第09回(5/18) ミニ・プロフィットセンター\\n第10回(5/20) 活動基準原価計算\\n第11回(5/25) 品質原価計算\\n第12回(5/27) ライフサイクル・コスティング\\n第13回(6/01) 原価企画\\n第14回(6/03) 授業全体についての質疑応答\\n第15回(6/08) 後半のまとめとテスト,2回のテストの結果に基づき評価します。\\n前半のテスト(40%)\\n評価基準:コストマネジメントの概念と考え方を説明できるか。また; 授業の前半で取り上げたコストマネジメント手法を用いて経営上の問題を検討できるか。\\n後半のテスト(60%)\\n評価基準:コストマネジメントの概念と考え方を説明できるか。また; 授業の後半で取り上げたコストマネジメント手法を用いて経営上の問題を検討できるか。,
